10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,99] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,80] -> Accuracy: 95,63%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0225, Momentum: 0,70] -> Accuracy: 97,38%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,90] -> Accuracy: 98,13%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0225, Momentum: 0,60] -> Accuracy: 96,88%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,95] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0200, Momentum: 0,80] -> Accuracy: 95,13%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0200, Momentum: 0,70] -> Accuracy: 96,88%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0200, Momentum: 0,60] -> Accuracy: 96,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0030, Momentum: 0,90] -> Accuracy: 98,63%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0030, Momentum: 0,80] -> Accuracy: 97,00%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0030, Momentum: 0,70] -> Accuracy: 95,63%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0030, Momentum: 0,99] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0030, Momentum: 0,95] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0005, Momentum: 0,95] -> Accuracy: 95,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0005, Momentum: 0,99] -> Accuracy: 98,75%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0001, Momentum: 0,99] -> Accuracy: 95,50%
10 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0002, Momentum: 0,99] -> Accuracy: 98,25%

11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,70] -> Accuracy: 97,13%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,90] -> Accuracy: 98,75%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,70] -> Accuracy: 97,25%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,95] -> Accuracy: 98,38%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,80] -> Accuracy: 98,50%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,60] -> Accuracy: 96,88%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0010, Momentum: 0,90] -> Accuracy: 96,50%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,60] -> Accuracy: 96,75%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,90] -> Accuracy: 98,88%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0100, Momentum: 0,80] -> Accuracy: 98,50%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0050, Momentum: 0,95] -> Accuracy: 98,75%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,80] -> Accuracy: 96,50%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,90] -> Accuracy: 98,38%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,95] -> Accuracy: 98,63%
11 Parameters: [Topology: [400, 1, 1], Functions: Sigmoid, Sigmoid, LR: 0,0020, Momentum: 0,99] -> Accuracy: 98,75%
